city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,id
Toronto,Toronto,ON,Ontario,43.7417,-79.3733,5647656.0,4427.8,America/Toronto,1,M5T M5V M5P M5S M5R M5E M5G M5A M5C M5B M5M M5N M5H M5J M4X M4Y M4R M4S M4P M4V M4W M4T M4J M4K M4H M4N M4L M4M M4B M4C M4A M4G M4E M3N M3M M3L M3K M3J M3H M3C M3B M3A M2P M2R M2L M2M M2N M2H M2J M2K M1C M1B M1E M1G M1H M1K M1J M1M M1L M1N M1P M1S M1R M1T M1W M1V M1X M9P M9R M9W M9V M9M M9L M9N M9A M9C M9B M6P M6R M6S M6A M6B M6C M6E M6G M6H M6J M6K M6L M6M M6N M8Z M8X M8Y M8V M8W,1124279679
Montréal,Montreal,QC,Quebec,45.5089,-73.5617,3675219.0,4833.5,America/Toronto,1,H1X H1Y H1Z H1P H1R H1S H1T H1V H1W H1H H1J H1K H1L H1M H1N H1A H1B H1C H1E H1G H2Y H2X H2Z H2T H2W H2V H2P H2S H2R H2M H2L H2N H2H H2K H2J H2E H2G H2A H2C H2B H3B H3C H3A H3G H3E H3J H3K H3H H3N H3L H3M H3R H3S H3V H3W H3T H3X H4G H4E H4C H4B H4A H4N H4M H4L H4K H4J H4H H4V H4T H4S H4R H4P H8N H8S H8R H8P H8T H8Z H8Y H9A H9E H9H H9J H9K H9C,1124586170
Vancouver,Vancouver,BC,British Columbia,49.25,-123.1,2426160.0,5749.9,America/Vancouver,1,V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5M V5K V5S V5P V5Z V5N V5L V5V V5W V5T V5R V5X V5Y,1124825478
Calgary,Calgary,AB,Alberta,51.05,-114.0667,1306784.0,1592.4,America/Edmonton,1,T1Y T2H T2K T2J T2M T2L T2N T2A T2C T2B T2E T2G T2Y T2X T2Z T2S T2R T2T T2W T2V T3N T3L T3M T3J T3K T3H T3G T3E T3B T3C T3A T3R T3S T3P,1124690423
Edmonton,Edmonton,AB,Alberta,53.5344,-113.4903,1151635.0,1320.4,America/Edmonton,1,T5X T5Y T5Z T5P T5R T5S T5T T5V T5W T5H T5J T5K T5L T5M T5N T5A T5B T5C T5E T5G T6Y T6X T6T T6W T6V T6P T6S T6R T6M T6L T6N T6H T6K T6J T6E T6G T6A T6C T6B,1124290735
Ottawa,Ottawa,ON,Ontario,45.4247,-75.695,1068821.0,364.9,America/Toronto,1,K4P K4M K4A K4B K4C K7S K1S K1R K1P K1W K1V K1T K1Z K1Y K1X K1C K1B K1A K1G K1E K1K K1J K1H K1N K1M K1L K0A K2R K2S K2P K2V K2W K2T K2J K2K K2H K2L K2M K2B K2C K2A K2G K2E,1124399363
Winnipeg,Winnipeg,MB,Manitoba,49.8844,-97.1464,758515.0,1623.3,America/Winnipeg,1,R2N R2M R2L R2K R2J R2H R2G R2C R2Y R2X R2W R2V R2R R2P R3L R3M R3N R3H R3J R3K R3E R3G R3A R3B R3X R3Y R3T R3V R3W R3P R3R R3S,1124224963
Quebec City,Quebec City,QC,Quebec,46.8139,-71.2081,733156.0,1214.8,America/Toronto,1,G3J G1N G1M G1L G1K G1J G1H G1G G1E G1C G1B G1Y G1X G1W G1V G1T G1S G1R G1P G3E G3G G3K G2G G2E G2B G2C G2A G2N G2L G2M G2J G2K,1124823933
Hamilton,Hamilton,ON,Ontario,43.2567,-79.8692,729560.0,509.1,America/Toronto,2,L0R L0P L8W L8V L8T L8S L8R L8P L8G L8E L8B L8N L8M L8L L8K L8J L8H L9G L9A L9B L9C L9H L9K N1R,1124567288
Mississauga,Mississauga,ON,Ontario,43.6,-79.65,717961.0,2452.5,America/Toronto,2,L4W L4V L4T L4Z L4Y L4X L5R L5S L5T L5V L5W L5A L5B L5C L5E L5G L5H L5J L5K L5L L5M L5N,1124112672
Brampton,Brampton,ON,Ontario,43.6833,-79.7667,656480.0,2469.0,America/Toronto,2,L7A L6T L6W L6V L6P L6S L6R L6Y L6X L6Z,1124625989
Surrey,Surrey,BC,British Columbia,49.19,-122.8489,568322.0,1797.9,America/Vancouver,2,V4A V4N V4P V3R V3S V3W V3T V3V V3X V3Z,1124001454
Kitchener,Kitchener,ON,Ontario,43.4186,-80.4728,522888.0,1877.6,America/Toronto,1,N2K N2H N2N N2M N2C N2B N2A N2G N2E N2R N2P,1124158530
Halifax,Halifax,NS,Nova Scotia,44.6475,-63.5906,439819.0,80.3,America/Halifax,1,B2Z B2Y B2X B2W B2V B2T B2S B2R B3Z B3T B3V B3P B3R B3S B3L B3M B3N B3H B3J B3K B3E B3G B3A B3B B0J B0N B4E B4G B4A B4C B4B,1124130981
Laval,Laval,QC,Quebec,45.5833,-73.75,438366.0,1781.0,America/Toronto,2,H7N H7L H7M H7J H7K H7H H7G H7E H7B H7C H7A H7X H7Y H7V H7W H7T H7R H7S H7P,1124922301
London,London,ON,Ontario,42.9836,-81.2497,423369.0,1004.3,America/Toronto,2,N5Z N5X N5Y N5V N5W N6P N6G N6E N6C N6B N6A N6N N6M N6L N6K N6H N6J,1124469960
Victoria,Victoria,BC,British Columbia,48.4283,-123.3647,363222.0,4722.3,America/Vancouver,1,V9A V8T V8W V8V V8S V8R,1124147219
Markham,Markham,ON,Ontario,43.8767,-79.2633,338503.0,1604.8,America/Toronto,2,L3T L3R L3P L3S L6E L6G L6C L6B,1124272698
Oshawa,Oshawa,ON,Ontario,43.9,-78.85,335949.0,1203.6,America/Toronto,2,L1L L1H L1J L1K L1G,1124541904
Vaughan,Vaughan,ON,Ontario,43.8333,-79.5,323103.0,1185.9,America/Toronto,2,L0J L3L L4K L4J L4H L4L L6A,1124000141
Windsor,Windsor,ON,Ontario,42.2833,-83.0,306519.0,1572.8,America/Toronto,2,N8T N8W N8P N8S N8R N8Y N8X N9J N9B N9C N9A N9G N9E N0R,1124261024
Gatineau,Gatineau,QC,Quebec,45.4833,-75.65,291041.0,851.4,America/Toronto,2,J8P J8R J8T J8Y J8X J8Z J8M J9J J9H J9A,1124722129
Saskatoon,Saskatoon,SK,Saskatchewan,52.1333,-106.6833,266141.0,1174.7,America/Regina,2,S7H S7K S7J S7M S7L S7N S7S S7R S7W S7V,1124612546
Longueuil,Longueuil,QC,Quebec,45.5333,-73.5167,254483.0,2198.2,America/Toronto,2,J4T J4V J4P J4R J4M J4L J4N J4H J4K J4J J4G J3Y J3Z,1124122753
Burnaby,Burnaby,BC,British Columbia,49.2667,-122.9667,249125.0,2750.7,America/Vancouver,2,V5H V5G V5E V5B V5C V5J V5A V3J V3N,1124817304
St. Catharines,St. Catharines,ON,Ontario,43.1833,-79.2333,242460.0,1422.1,America/Toronto,2,L2M L2N L2P L2S L2R L2T L2W,1124140229
Regina,Regina,SK,Saskatchewan,50.4547,-104.6067,226404.0,1266.2,America/Regina,2,S4N S4T S4V S4W S4P S4R S4S S4X S4Y S4Z,1124342541
Oakville,Oakville,ON,Ontario,43.45,-79.6833,213759.0,1538.5,America/Toronto,2,L6M L6L L6H L6K L6J,1124080468
Richmond,Richmond,BC,British Columbia,49.1667,-123.1333,209937.0,1629.0,America/Vancouver,2,V6Y V6X V6W V6V V7E V7A V7B V7C,1124121940
Richmond Hill,Richmond Hill,ON,Ontario,43.8667,-79.4333,202022.0,2004.4,America/Toronto,2,L4S L4C L4B L4E,1124364273
Burlington,Burlington,ON,Ontario,43.3167,-79.8,186948.0,1004.4,America/Toronto,2,L7R L7S L7P L7T L7N L7L L7M,1124955083
St. John's,St. John's,NL,Newfoundland and Labrador,47.4817,-52.7971,185565.0,247.8,America/St_Johns,2,A1H A1S A1E A1G A1A A1C A1B,1124741456
Kelowna,Kelowna,BC,British Columbia,49.8881,-119.4956,181380.0,682.4,America/Vancouver,2,V1X V1Y V1P V1W V1V,1124080626
Sherbrooke,Sherbrooke,QC,Quebec,45.4,-71.9,172950.0,489.4,America/Toronto,2,J1N J1L J1M J1J J1K J1H J1G J1E J1C J1R,1124559506
Sudbury,Sudbury,ON,Ontario,46.49,-81.01,166004.0,52.1,America/Toronto,2,P0M P3N P3L P3B P3C P3A P3G P3Y P3P,1124539524
Barrie,Barrie,ON,Ontario,44.3711,-79.6769,154676.0,1493.1,America/Toronto,2,L9J L4N L4M,1124340223
Abbotsford,Abbotsford,BC,British Columbia,49.05,-122.3167,153524.0,409.0,America/Vancouver,2,V4X V2T V2S V3G,1124808029
Lévis,Levis,QC,Quebec,46.8,-71.1833,149683.0,334.1,America/Toronto,2,G7A G6J G6K G6C G6Z G6X G6Y G6V G6W,1124958950
Coquitlam,Coquitlam,BC,British Columbia,49.2839,-122.7919,148625.0,1216.7,America/Vancouver,2,V3C V3E V3B V3J V3K,1124000500
Saguenay,Saguenay,QC,Quebec,48.4167,-71.0667,144723.0,128.7,America/Toronto,2,G8A G7T G7Z G7G G7B G7N G7H G7K G7J G7P G7S G7Y G7X,1124001930
Guelph,Guelph,ON,Ontario,43.55,-80.25,144356.0,1644.1,America/Toronto,2,N1C N1G N1E N1K N1H N1L,1124968815
Trois-Rivières,Trois-Rivieres,QC,Quebec,46.35,-72.55,139163.0,482.1,America/Toronto,2,G9C G9B G9A G8T G8V G8W G8Y G8Z,1124407487
Whitby,Whitby,ON,Ontario,43.8833,-78.9417,138501.0,944.1,America/Toronto,2,L0B L1P L1R L1M L1N,1124112077
Cambridge,Cambridge,ON,Ontario,43.3972,-80.3114,138479.0,1225.5,America/Toronto,2,N3H N3C N3E N1R N1S N1P N1T,1124113576
Milton,Milton,ON,Ontario,43.5083,-79.8833,132979.0,365.5,America/Toronto,2,L7J L0P L9T L9E,1124001426
Ajax,Ajax,ON,Ontario,43.8583,-79.0364,126666.0,1900.6,America/Toronto,2,L1Z L1T L1S,1124382916
Waterloo,Waterloo,ON,Ontario,43.4667,-80.5167,121436.0,1895.8,America/Toronto,2,N2K N2J N2L N2V N2T,1124321390
Terrebonne,Terrebonne,QC,Quebec,45.7,-73.6333,119944.0,780.1,America/Toronto,2,J6Y J6X J6W J7M J6V,1124993674
Moncton,Moncton,NB,New Brunswick,46.1328,-64.7714,119785.0,564.9,America/Moncton,2,E1H E1A E1C E1E E1G,1124521303
Saanich,Saanich,BC,British Columbia,48.484,-123.381,117735.0,1136.6,America/Vancouver,2,V9A V8N V8Z V8P V9E V8Y V8X V8R,1124000949
White Rock,White Rock,BC,British Columbia,49.025,-122.8028,109167.0,4240.6,America/Vancouver,2,V4B,1124260555
Thunder Bay,Thunder Bay,ON,Ontario,48.3822,-89.2461,108843.0,332.1,America/Toronto,2,P7G P7E P7B P7C P7J P7K,1124398712
Delta,Delta,BC,British Columbia,49.0847,-123.0586,108455.0,603.7,America/Vancouver,2,V4C V4E V4G V4K V4M V4L,1124001200
Nanaimo,Nanaimo,BC,British Columbia,49.1642,-123.9364,106079.0,1104.1,America/Vancouver,2,V9R V9S V9V V9T,1124623893
Brantford,Brantford,ON,Ontario,43.1667,-80.25,104688.0,1061.2,America/Toronto,2,N3P N3R N3S N3T N3V,1124737006
Chatham,Chatham,ON,Ontario,42.4229,-82.1324,103988.0,42.4,America/Toronto,2,N8A N0P N7L N7M,1124393373
Clarington,Clarington,ON,Ontario,43.935,-78.6083,101427.0,166.0,America/Toronto,2,L0B L0A L1E L1B L1C,1124000882
Saint-Jérôme,Saint-Jerome,QC,Quebec,45.7833,-74.0,100859.0,889.5,America/Toronto,2,J7Y J7Z J5L,1124268324
Red Deer,Red Deer,AB,Alberta,52.2681,-113.8111,100844.0,966.5,America/Edmonton,2,T4S T4R T4P T4N,1124404130
Pickering,Pickering,ON,Ontario,43.8354,-79.089,99186.0,429.2,America/Toronto,3,L0H L1X L1Y L1V L1W,1124781814
